Losses,Standings,Wins,Team
57,57,64,GS
57,57,63,GS
57,57,62,GS
57,57,61,GS
57,57,60,GS
57,57,59,GS
57,57,58,GS
57,57,57,GS
57,57,57,GS
56,57,57,GS
55,57,57,GS
54,57,57,GS
53,57,57,GS
52,57,57,GS
51,57,57,GS
50,57,57,GS
54,54,57,DEN
54,54,56,DEN
54,54,55,DEN
54,54,54,DEN
53,54,54,DEN
52,54,54,DEN
51,54,54,DEN
50,54,54,DEN
49,54,54,DEN
48,54,54,DEN
47,54,54,DEN
46,54,54,DEN
45,54,54,DEN
44,54,54,DEN
43,54,54,DEN
42,54,54,DEN
41,54,54,DEN
53,53,59,POR
53,53,58,POR
53,53,57,POR
53,53,56,POR
53,53,55,POR
53,53,54,POR
53,53,53,POR
52,53,53,POR
51,53,53,POR
50,53,53,POR
49,53,53,POR
48,53,53,POR
53,53,58,HOU
53,53,57,HOU
53,53,56,HOU
53,53,55,HOU
53,53,54,HOU
53,53,53,HOU
52,53,53,HOU
51,53,53,HOU
50,53,53,HOU
49,53,53,HOU
48,53,53,HOU
47,53,53,HOU
50,50,57,UTA
50,50,56,UTA
50,50,55,UTA
50,50,54,UTA
50,50,53,UTA
50,50,52,UTA
50,50,51,UTA
50,50,50,UTA
49,49,56,OKC
49,49,55,OKC
49,49,54,OKC
49,49,53,OKC
49,49,52,OKC
49,49,51,OKC
49,49,50,OKC
49,49,49,OKC
48,49,49,OKC
47,49,49,OKC
46,49,49,OKC
45,49,49,OKC
44,49,49,OKC
43,49,49,OKC
48,48,52,SAS
48,48,51,SAS
48,48,50,SAS
48,48,49,SAS
48,48,48,SAS
47,48,48,SAS
46,48,48,SAS
45,48,48,SAS
44,48,48,SAS
43,48,48,SAS
42,48,48,SAS
41,48,48,SAS
48,48,50,LAC
48,48,49,LAC
48,48,48,LAC
47,48,48,LAC
46,48,48,LAC
45,48,48,LAC
44,48,48,LAC
43,48,48,LAC
42,48,48,LAC
39,39,46,SAC
39,39,45,SAC
39,39,44,SAC
39,39,43,SAC
39,39,42,SAC
39,39,41,SAC
39,39,40,SAC
39,39,39,SAC
38,39,39,SAC
37,39,39,SAC
36,39,39,SAC
35,39,39,SAC
34,39,39,SAC
33,39,39,SAC
37,37,41,LAL
37,37,40,LAL
37,37,39,LAL
37,37,38,LAL
37,37,37,LAL
36,37,37,LAL
35,37,37,LAL
34,37,37,LAL
33,37,37,LAL
32,37,37,LAL
26,36,41,MIN
36,36,40,MIN
36,36,39,MIN
36,36,38,MIN
36,36,37,MIN
36,36,36,MIN
35,36,36,MIN
34,36,36,MIN
33,36,36,MIN
32,36,36,MIN
31,36,36,MIN
30,36,36,MIN
29,36,36,MIN
28,36,36,MIN
27,36,36,MIN
26,36,36,MIN
33,33,42,MEM
33,33,41,MEM
33,33,40,MEM
33,33,39,MEM
33,33,38,MEM
33,33,37,MEM
33,33,36,MEM
33,33,35,MEM
33,33,34,MEM
33,33,33,MEM
32,33,33,MEM
31,33,33,MEM
30,33,33,MEM
29,33,33,MEM
28,33,33,MEM
27,33,33,MEM
33,33,39,NO
33,33,38,NO
33,33,37,NO
33,33,36,NO
33,33,35,NO
33,33,34,NO
33,33,33,NO
32,33,33,NO
31,33,33,NO
30,33,33,NO
29,33,33,NO
33,33,40,DAL
33,33,39,DAL
33,33,38,DAL
33,33,37,DAL
33,33,36,DAL
33,33,35,DAL
33,33,34,DAL
33,33,33,DAL
32,33,33,DAL
31,33,33,DAL
30,33,33,DAL
29,33,33,DAL
28,33,33,DAL
27,33,33,DAL
26,33,33,DAL
25,33,33,DAL
24,33,33,DAL
23,33,33,DAL
19,19,24,PHX
19,19,23,PHX
19,19,22,PHX
19,19,21,PHX
19,19,20,PHX
19,19,19,PHX
18,19,19,PHX
17,19,19,PHX
16,19,19,PHX
15,19,19,PHX
14,19,19,PHX